Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
1985;45.0;47.0;48.0;44.0
1990;45.0;47.0;48.0;44.0
1995;46.0;47.0;48.0;44.0
2000;45.0;47.0;48.0;44.0
2005;45.0;47.0;48.0;44.0
2010;46.0;47.0;48.0;44.0
2015;46.0;47.0;48.0;44.0
2020;46.0;47.0;48.0;44.0
2025;46.0;47.0;49.0;44.0
2030;46.0;47.0;49.0;44.0
2035;45.0;47.0;49.0;44.0
2040;45.0;47.0;49.0;44.0
2045;45.0;47.0;49.0;44.0
2050;45.0;47.0;49.0;44.0
2055;45.0;47.0;49.0;44.0
2060;46.0;47.0;50.0;44.0
2065;47.0;47.0;50.0;44.0
2070;47.0;47.0;49.0;44.0
2075;47.0;47.0;49.0;44.0
2080;48.0;47.0;50.0;44.0
2085;48.0;48.0;50.0;44.0
2090;48.0;48.0;50.0;44.0
2095;48.0;48.0;50.0;45.0
2100;48.0;48.0;50.0;45.0
2105;48.0;48.0;50.0;45.0
2110;48.0;48.0;50.0;45.0
2115;48.0;48.0;51.0;45.0
2120;48.0;48.0;51.0;45.0
2125;48.0;48.0;50.0;45.0
2130;48.0;48.0;50.0;45.0
2135;48.0;48.0;50.0;45.0
2140;48.0;48.0;50.0;45.0
2145;48.0;48.0;50.0;45.0
2150;49.0;48.0;50.0;45.0
2155;49.0;49.0;50.0;45.0
2160;49.0;49.0;50.0;44.0
2165;49.0;50.0;50.0;44.0
2170;49.0;50.0;50.0;45.0
2175;49.0;50.0;50.0;45.0
2180;49.0;50.0;51.0;45.0
2185;50.0;50.0;50.0;45.0
2190;50.0;50.0;51.0;45.0
2195;50.0;50.0;51.0;45.0
2200;50.0;50.0;51.0;45.0
2205;50.0;50.0;51.0;45.0
2210;50.0;50.0;51.0;45.0
2215;50.0;50.0;51.0;46.0
2220;50.0;50.0;51.0;46.0
2225;50.0;51.0;51.0;46.0
2230;50.0;51.0;50.0;46.0
2235;51.0;51.0;51.0;47.0
2240;51.0;51.0;51.0;46.0
2245;51.0;51.0;51.0;47.0
2250;51.0;51.0;51.0;47.0
2255;51.0;52.0;51.0;47.0
2260;52.0;52.0;51.0;47.0
2265;52.0;52.0;51.0;47.0
2270;52.0;52.0;51.0;47.0
2275;52.0;52.0;51.0;47.0
2280;52.0;52.0;52.0;47.0
2285;52.0;52.0;52.0;47.0
2290;52.0;52.0;52.0;47.0
2295;52.0;52.0;52.0;47.0
2300;52.0;53.0;52.0;47.0
2305;52.0;53.0;52.0;47.0
2310;52.0;53.0;52.0;47.0
2315;52.0;53.0;51.0;47.0
2320;53.0;53.0;52.0;47.0
2325;53.0;53.0;52.0;47.0
2330;53.0;53.0;52.0;48.0
2335;53.0;53.0;52.0;48.0
2340;53.0;53.0;52.0;48.0
2345;53.0;53.0;52.0;48.0
2350;53.0;52.0;52.0;48.0
2355;53.0;52.0;52.0;48.0
2360;53.0;52.0;52.0;48.0
2365;53.0;53.0;52.0;48.0
2370;53.0;53.0;52.0;48.0
2375;54.0;53.0;52.0;48.0
2380;54.0;53.0;52.0;49.0
2385;54.0;53.0;53.0;49.0
2390;54.0;53.0;53.0;49.0
2395;54.0;53.0;53.0;49.0
2400;54.0;53.0;53.0;49.0
2405;54.0;53.0;53.0;49.0
2410;54.0;53.0;52.0;49.0
2415;54.0;53.0;52.0;49.0
2420;54.0;53.0;52.0;50.0
2425;54.0;53.0;52.0;50.0
2430;54.0;54.0;53.0;50.0
2435;54.0;54.0;53.0;50.0
2440;54.0;54.0;53.0;50.0
2445;54.0;54.0;53.0;50.0
2450;55.0;54.0;54.0;50.0
2455;55.0;54.0;54.0;50.0
2460;55.0;54.0;54.0;50.0
2465;55.0;54.0;54.0;50.0
2470;55.0;54.0;54.0;50.0
2475;55.0;54.0;54.0;50.0
2480;55.0;54.0;54.0;51.0
2485;55.0;54.0;54.0;50.0
2490;55.0;54.0;54.0;50.0
2495;55.0;54.0;53.0;51.0
2500;55.0;54.0;54.0;51.0
2505;55.0;54.0;54.0;51.0
2510;55.0;54.0;54.0;51.0
2515;56.0;54.0;54.0;51.0
2520;56.0;53.0;54.0;51.0
2525;56.0;54.0;54.0;52.0
2530;56.0;54.0;54.0;51.0
2535;56.0;54.0;55.0;51.0
2540;56.0;54.0;55.0;51.0
2545;56.0;54.0;55.0;51.0
2550;55.0;54.0;55.0;51.0
2555;56.0;54.0;55.0;52.0
2560;56.0;54.0;55.0;52.0
2565;56.0;54.0;56.0;52.0
2570;56.0;54.0;56.0;52.0
2575;56.0;54.0;56.0;52.0
2580;56.0;54.0;56.0;52.0
2585;56.0;55.0;56.0;52.0
2590;56.0;55.0;56.0;52.0
2595;56.0;55.0;56.0;52.0
2600;56.0;55.0;57.0;52.0
2605;56.0;55.0;57.0;52.0
2610;57.0;55.0;57.0;52.0
2615;57.0;55.0;57.0;52.0
2620;57.0;55.0;58.0;52.0
2625;57.0;55.0;58.0;52.0
2630;57.0;55.0;58.0;52.0
2635;57.0;55.0;58.0;52.0
2640;57.0;55.0;58.0;52.0
2645;57.0;55.0;58.0;52.0
2650;57.0;55.0;58.0;52.0
2655;56.0;55.0;58.0;52.0
2660;56.0;55.0;58.0;52.0
2665;56.0;54.0;58.0;52.0
2670;56.0;55.0;57.0;52.0
